Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,3,1,8,1,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,4,4,10,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,3,2,7,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,3,3,8,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,3,4,6,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,3,3,8,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,4,1,12,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,4,2,1,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,4,2,10,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,3,2,17,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,3,3,6,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,3,4,10,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,3,4,5,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,3,3,3,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,3,2,6,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,3,3,10,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,3,4,7,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,3,2,1,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,3,3,31,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,3,3,6,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,3,4,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,4,2,10,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,3,3,13,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,3,4,0,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,3,3,8,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,3,4,26,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4,2,10,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,3,4,10,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,3,4,24,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,3,4,22,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,3,4,7,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,3,4,9,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,3,1,10,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3,3,19,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3,1,6,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,3,4,6,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3,3,3,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,3,1,2,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,3,4,6,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3,1,10,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,3,3,1,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,3,4,1,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,3,3,1,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,3,4,9,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,4,4,12,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,3,4,23,3,22,15,15,8
34,No,Non-Travel,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,4,3,10,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,4,1,8,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,4,3,14,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,3,4,1,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,3,4,23,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,3,3,2,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4,3,9,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,3,3,10,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,3,3,5,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,3,3,15,3,15,14,8,12
35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,4,4,9,2,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,3,3,4,3,2,2,2,2
